"Work (W), Instance (I), Item (Item)",Path to value,MARC destination,MARC Repeatability,Conversion,Notes
W,contribution/Contribution/agent/madsrdf:CorporateName/madsrdf:elementList/madsrdf:NameElement[pos()>1]]/madsrdf:elementValue,710 $b,R,,Each additional element in the elementList becomes a $b
,,710 $c,R,,"nac -- it may be possible to derive this from a madsrdf:associatedLocale, but we were unable to find examples."
W,contribution/Contribution/agent/madsrdf:CorporateName/madsrdf:elementList/madsrdf:DateNameElement/madsrdf:elementValue,710 $d,R,,
W,contribution/Contribution/role/Role/rdfs:label && (contribution/Contribution/agent/madsrdf:CorporateName),710 $e,R,,
W,contribution/Contribution/agent/madsrdf:CorporateName,710 $0,RR,value == URI,
W,contribution/Contribution/agent/madsrdf:CorporateName/madsrdf:hasExactExternalAuthority,710 $1,R,,
W,contribution/Contribution/role/Role/code && (contribution/Contribution/agent/madsrdf:CorporateName),710 $4,R,,$4 generated from code
W,contribution/Contribution/role/Role && (contribution/Contribution/agent/madsrdf:CorporateName),710 $4,R,,$4 generated from URI
W,,710 $6,NR,,See specs for linkage.
W,contribution/Contribution/agent/madsrdf:ConferenceName,711,NR,,Each contribution/Contribution/agent/madsrdf:ConferenceName will create a MARC 711.
W,contribution/Contribution/agent/madsrdf:ConferenceName,711 I1,NR,"""2""",
W,contribution/Contribution/agent/madsrdf:ConferenceName,711 I2,NR,""" """,
W,contribution/Contribution/agent/madsrdf:ConferenceName/madsrdf:elementList/madsrdf:NameElement/madsrdf:elementValue,711 $a,NR,,
W,contribution/Contribution/agent/madsrdf:ConferenceName/madsrdf:elementList/madsrdf:GeographicElement/madsrdf:elementValue,711 $c,R,,
W,contribution/Contribution/agent/madsrdf:ConferenceName/madsrdf:elementList/madsrdf:DateNameElement/madsrdf:elementValue,711 $d,NR,,
,,711 $e,R,,nac
,,711 $g,NR,,nac
W,contribution/Contribution/role/Role/rdfs:label && (contribution/Contribution/agent/madsrdf:ConferenceName),711 $j,R,,
,,711 $u,NR,,nac
W,contribution/Contribution/agent/madsrdf:ConferenceName,711 $0,RR,value == URI,
W,contribution/Contribution/agent/madsrdf:ConferenceName/madsrdf:hasExactExternalAuthority,711 $1,R,,
W,contribution/Contribution/role/Role/code && (contribution/Contribution/agent/madsrdf:ConferenceName),711 $4,R,,$4 generated from code
W,contribution/Contribution/role/Role && (contribution/Contribution/agent/madsrdf:ConferenceName),711 $4,R,,$4 generated from URI
W,,711 $6,NR,,See specs for linkage.
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName),800,NR,,Each hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/madsrdf:PersonalName will create a MARC 800.
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName),800 I1,NR,"""1""",
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/madsrdf:FamilyName,800 I1,NR,"""3""",
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName),800 I2,NR,""" """,
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)/madsrdf:elementList/madsrdf:FullNameElement/madsrdf:elementValue,800 $a,NR,,
I,,800 $b,NR,,
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)/madsrdf:elementList/madsrdf:TermsOfAddressNameElement/madsrdf:elementValue,800 $c,RR,,
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)/madsrdf:elementList/madsrdf:DateNameElement/madsrdf:elementValue,800 $d,NR,,
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/role/Role/rdfs:label && (contribution/bflc:Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)),800 $e,R,,
I,,800 $j,R,,nac - information cannot be determined from madsrdf.
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)/madsrdf:fullerName/(madsrdf:PersonalName || madsrdf:FamilyName)/rdfs:label,800 $q,NR,,
I,,800 $u,NR,,nac - information cannot be determined from madsrdf.
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName),800 $0,RR,value == URI,
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)/madsrdf:hasExactExternalAuthority,800 $1,R,,
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/role/Role/code && (contribution/bflc:Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)),800 $4,R,,$4 generated from code
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/role/Role && (contribution/bflc:Contribution/agent/(madsrdf:PersonalName || madsrdf:FamilyName)),800 $4,R,,$4 generated from URI
I,,800 $6,NR,,See specs for linkage.
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/madsrdf:CorporateName,810,NR,,Each hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/madsrdf:CorporateName will create a MARC 810.
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/madsrdf:CorporateName,810 I1,NR,"""2""",
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/madsrdf:CorporateName,810 I2,NR,""" """,
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/madsrdf:CorporateName/madsrdf:elementList/madsrdf:NameElement[1]/madsrdf:elementValue,810 $a,NR,,The first element in the elementList collection becomes $a
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/madsrdf:CorporateName/madsrdf:elementList/madsrdf:NameElement[pos()>1]/madsrdf:elementValue,810 $b,R,,Each additional element in the elementList becomes a $b
I,,810 $c,R,,"nac -- it may be possible to derive this from a madsrdf:associatedLocale, but we were unable to find examples."
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/madsrdf:CorporateName/madsrdf:elementList/madsrdf:DateNameElement/madsrdf:elementValue,810 $d,R,,
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/role/Role/rdfs:label && (contribution/bflc:Contribution/agent/madsrdf:CorporateName),810 $e,R,,
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/madsrdf:CorporateName,810 $0,RR,value == URI,
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/madsrdf:CorporateName/madsrdf:hasExactExternalAuthority,810 $1,R,,
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/role/Role/code && (contribution/bflc:Contribution/agent/madsrdf:CorporateName),810 $4,R,,$4 generated from code
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/role/Role && (contribution/bflc:Contribution/agent/madsrdf:CorporateName),810 $4,R,,$4 generated from URI
I,,810 $6,NR,,See specs for linkage.
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/madsrdf:ConferenceName,811,NR,,Each hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/madsrdf:ConferenceName will create a MARC 811.
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/madsrdf:ConferenceName,811 I1,NR,"""2""",
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/madsrdf:ConferenceName,811 I2,NR,""" """,
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/madsrdf:ConferenceName/madsrdf:elementList/madsrdf:NameElement/madsrdf:elementValue,811 $a,NR,,
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/madsrdf:ConferenceName/madsrdf:elementList/madsrdf:GeographicElement/madsrdf:elementValue,811 $c,R,,
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/madsrdf:ConferenceName/madsrdf:elementList/madsrdf:DateNameElement/madsrdf:elementValue,811 $d,NR,,
I,,811 $e,R,,nac
I,,811 $g,NR,,nac
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/role/Role/rdfs:label && (contribution/bflc:Contribution/agent/madsrdf:ConferenceName),811 $j,R,,
I,,811 $u,NR,,nac
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/madsrdf:ConferenceName/madsrdf:hasExactExternalAuthority,811 $0,RR,value == URI,
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/agent/madsrdf:ConferenceName/madsrdf:hasExactExternalAuthority,811 $1,R,,
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/role/Role/code && (contribution/bflc:Contribution/agent/madsrdf:ConferenceName),811 $4,R,,$4 generated from code
I,hasSeries/Instance/instanceOf/Work/contribution/bflc:Contribution/role/Role && (contribution/bflc:Contribution/agent/madsrdf:ConferenceName),811 $4,R,,$4 generated from URI
I,,811 $6,NR,,See specs for linkage.
